login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
JohnbelMDev,JohnbelMDev/AI-Scientist,2024-08-16T02:14:09Z,0,0,,TRUE,TRUE,Apache License 2.0
djcas9,djcas9/AMDVLK,2024-08-16T01:49:19Z,0,0,,TRUE,TRUE,MIT License
SuperBruceJia,SuperBruceJia/Awesome-Mixture-of-Experts,2024-08-15T18:24:18Z,7,7,,TRUE,TRUE,MIT License
timcappalli,timcappalli/pgp.timcappalli.me,2024-08-15T01:45:57Z,0,0,HTML,FALSE,FALSE,N/A
timcappalli,timcappalli/nhl-schedule-csv,2024-08-15T01:15:22Z,0,0,JavaScript,FALSE,FALSE,MIT License
timcappalli,timcappalli/nhl-schedule-ics,2024-08-14T11:52:37Z,2,2,JavaScript,FALSE,FALSE,MIT License
securingdev,securingdev/Deepfake-Live,2024-08-13T14:39:50Z,0,0,,TRUE,TRUE,GNU Affero General Public License v3.0
djcas9,djcas9/Deep-Live-Cam,2024-08-12T20:02:11Z,0,0,Python,TRUE,TRUE,GNU Affero General Public License v3.0
danieloh30,danieloh30/CamelQuarkusVoter,2024-08-12T18:20:39Z,0,0,,TRUE,TRUE,Apache License 2.0
bit101,bit101/blsurface,2024-08-12T03:07:36Z,0,0,Go,TRUE,TRUE,N/A
mjmacarty,mjmacarty/OIM6301_F24,2024-08-10T18:17:42Z,1,1,Jupyter Notebook,TRUE,TRUE,MIT License
SuperBruceJia,SuperBruceJia/Awesome-Large-Vision-Language-Model,2024-08-10T17:07:02Z,12,12,,TRUE,TRUE,MIT License
dbhurley,dbhurley/Deep-Live-Cam,2024-08-10T13:00:30Z,0,0,,TRUE,TRUE,GNU Affero General Public License v3.0
MarkFontenot,MarkFontenot/24su-3200-project-template,2024-08-10T09:49:44Z,0,0,,TRUE,TRUE,N/A
thePunderWoman,thePunderWoman/angular-movies,2024-08-09T18:06:19Z,1,1,,TRUE,TRUE,MIT License
neuralmagic,neuralmagic/mamba,2024-08-08T21:40:26Z,0,0,,TRUE,FALSE,Apache License 2.0
Hasaber8,Hasaber8/bob,2024-08-08T17:23:18Z,0,0,Go,TRUE,FALSE,MIT License
tekknolagi,tekknolagi/buildroot,2024-08-08T16:12:45Z,0,0,,TRUE,TRUE,Other
neuralmagic,neuralmagic/causal-conv1d,2024-08-08T15:45:52Z,0,0,,TRUE,TRUE,"BSD 3-Clause ""New"" or ""Revised"" License"
benborgers,benborgers/mintlify-docs,2024-08-08T03:11:10Z,0,0,MDX,TRUE,TRUE,N/A
